can_nam,can_off,can_off_sta,can_par_aff,can_inc_cha_ope_sea,ind_ite_con,ind_uni_con,ind_con,par_com_con,oth_com_con,tot_con,tot_rec,ope_exp,tot_con_ref,oth_dis,tot_dis,cas_on_han_beg_of_per,cas_on_han_clo_of_per,net_con,net_ope_exp,winner
"BRADSHAW, WILLIAM MICAH",H,TX,DEM,CHALLENGER,,25,25,,500,525,525,,,,,,525,525,,
"BRADY, KEVIN",H,TX,REP,INCUMBENT,1276575.89,22465,1299040.89,,2942307.73,4241348.62,4482743.89,3426887.05,22950,237079.79,3686916.84,658287.42,1454114.47,4218398.62,3423547.17,Y
"BRADY, ROBERT A",H,PA,DEM,INCUMBENT,335075,3791,338866,,305700,644566,650717.96,302059.98,,323065,625124.98,549473.17,575066.15,644566,302059.98,Y
"BRANDMAN, JORDAN",H,CA,DEM,OPEN,87487.25,8868.99,96356.24,,150,96506.24,121807.39,65982.13,2700,28275.26,121957.39,,,93806.24,65682.13,
"BRANNON, GREGORY",H,NC,REP,CHALLENGER,35900.64,67165.32,103065.96,,,103065.96,116145.99,115819.47,,,115819.47,,326.52,103065.96,115819.47,
"BRANNON, GREGORY JOSEPH",S,NC,REP,CHALLENGER,134411,187344,321756,,,321756,321756,306634,14650,,334364,25835,13226,307106,306634,
"BRAT, DAVID ALAN MR.",H,VA,REP,INCUMBENT,742874.66,246467.13,989341.79,5000,157371.06,1152268.27,1207908.5,966205.48,9090,3250,978545.48,60419.75,289782.77,1143178.27,962865.25,Y
"BRATCHER, HAROLD",H,KY,REP,CHALLENGER,6550,975,7525,,,7525,7525,4680,,,4680,,2944,7525,4680,
"BRENTON, LUCY",S,IN,LIB,CHALLENGER,500,598,1098,,,1098,1098,824,,,824,,274,1098,824,
"BREU, TOM",H,WI,DEM,CHALLENGER,3975.3,5467.94,9443.24,,,24443.24,24444.42,30241.16,1.04,,30242.2,5797.78,,24442.2,30241.16,
"BRIDENSTINE, JAMES FREDERICK",H,OK,REP,INCUMBENT,533501.77,98552.28,632054.05,,264085.85,896139.9,903595.28,1098674.82,,17887,1116561.82,370306.26,257703.51,896139.9,1096729.24,Y
"BRILL, ROGER Q",H,KY,REP,CHALLENGER,,,,,,,19990,19308,,,19308,,6811,,,
"BROCK, ANDREW C",H,NC,REP,CHALLENGER,23550,875,24425,,7500,31925,131925,116949,,,116949,,14976,31925,116949,
"BRONSON, DANIEL J",S,IL,REP,CHALLENGER,,,,,,7328,7328,7328,,,7328,,,7328,7328,
"BROOKES, ANN E",H,CT,REP,CHALLENGER,2715,1410,4125,,,4125,12125,10837.47,,,11837.47,,287.53,4125,10837.47,
"BROOKINS, HOWARD B. JR.",H,IL,DEM,CHALLENGER,182648.61,8270,190918.61,,11250,202368.61,202807.69,197471.72,,5335.97,202807.69,,,202368.61,197032.64,
"BROOKS, JANIS C DR",H,PA,DEM,CHALLENGER,891,,80,,,1008.7,10123,9413,,,10913,550,680,928,9097,
"BROOKS, MO",H,AL,REP,INCUMBENT,206141,4351,210492,,239533.21,450025.21,453429.32,87081.88,50,,92131.88,814436.28,1175733.72,449975.21,86637.98,Y
"BROOKS, SUSAN MRS.",H,IN,REP,INCUMBENT,650111.25,37112.17,687223.42,,832646.04,1519869.46,1611309.48,812094.94,7350,264752.18,1084197.12,846661.03,1373773.39,1512519.46,810743.59,Y
"BROUN, PAUL",H,GA,REP,CHALLENGER,74521.24,20155.87,94677.11,,12588.62,107265.73,151927.86,126280.02,13517,,148797.02,,2839.8,93748.73,124958.02,
"BROWN, ANTHONY GREGORY",H,MD,DEM,OPEN,718372.46,57925.38,776297.84,,380508.6,1162306.44,1571584.57,1057922.66,7830,15000,1361852.66,,209731.91,1154476.44,1057499.39,Y
"BROWN, CORRINE",H,FL,DEM,INCUMBENT,101654.82,3432.66,105087.48,,344000,449087.48,552232.3,564389.65,1472.22,313.95,566175.82,7842.63,-6100.89,447615.26,564389.65,
"BROWN, DESIREE MICHELLE",H,OK,REP,CHALLENGER,1231.71,2650,3881.71,,,4631.71,4631.71,5043.62,,65.75,5109.37,-422.28,-899.94,4631.71,5043.62,
"BROWN, DONALD GLENN JR",H,TX,DEM,CHALLENGER,74300,150,74450,,,74450,74450,2507.82,,,3184.82,1998.59,73263.77,74450,2507.82,
"BROWN, HAL",H,MO,REP,CHALLENGER,13950,6380.58,20330.58,,,22984.58,56610.58,54714.86,,,54804.86,,667.81,22984.58,54088.86,
"BROWN, HARLEY D",P,US,NNE,OPEN,,215,215,,,12847.39,12847.39,11683.89,,,11683.89,754.92,1918.42,10487.1,9655.02,
"BROWN, LIZ",H,IN,REP,OPEN,199068,7945,207013,,5545.4,288060.88,388226.29,378486.26,8600,860,388226.29,,,279460.88,378420.85,
"BROWN, PAUL MICHAEL",H,TX,REP,CHALLENGER,96300,5243.5,101543.5,,,101545.5,103545.5,96850.61,6246,,103096.61,,448.89,95299.5,96850.61,
"BROWN, SAKIMA",H,NY,REP,CHALLENGER,42864,90398.24,133262.24,,,134846.96,135856.35,117906.78,1135,1235,121276.78,,14579.57,133711.96,117906.78,
"BROWN, SHAUN DENISE",H,VA,DEM,OPEN,13191.49,11734.52,24926.01,,1750,26778.36,29258.36,19266.2,2174.6,5266.67,29187.47,,250,24603.76,19266.2,
"BROWNLEY, JULIA",H,CA,DEM,INCUMBENT,1557402.67,562461.43,2119864.1,7326.35,1009601.82,3136792.27,3184302.2,1448434.4,58682.82,56445.85,1563563.07,275379.83,1896118.96,3078109.45,1404724.47,Y
"BRUDERLY, DAVID EDWARD",H,FL,DEM,OPEN,25271.54,9046.91,34318.45,,,34318.45,46384.24,35074.3,,,35074.3,,11309.94,34318.45,35074.3,
"BRUTUS, O. PATRICK",H,IL,DEM,CHALLENGER,2100,5366,7466,,,7466,42466,37648.17,,1433.2,39081.37,,3384.63,7466,37648.17,
"BRYAN, PAT",H,TX,DEM,CHALLENGER,20,100,120,,,120,14181.94,7349.78,,1660,13548.18,685.12,1893.48,120,7349.78,
"BRYSON, FREDERICK EDGAR (RICK)",H,NC,DEM,CHALLENGER,14050,13745,27795,1785,,29580,43090,30178.11,,100,30278.11,,12811.89,29580,28218.11,
"BUCHANAN, VERNON",H,FL,REP,INCUMBENT,852270,21544.46,873814.46,,661515.1,1535329.56,1546925.36,682621.47,13400,2000,698021.47,724712.57,1573616.46,1521929.56,681924.36,Y
"BUCHHOLZ, MYRON EARL MR.",H,WI,DEM,CHALLENGER,6886,14380.31,21266.31,,,31291.31,31291.31,31376.31,,,31376.31,,,31291.31,31376.31,
"BUCK, KENNETH R",H,CO,REP,INCUMBENT,380583.38,139658.38,520241.76,150,294119.91,814511.67,964262.48,551168.76,6350,23500,703143.1,140466.09,401585.47,808161.67,550056.91,Y
"BUCSHON, LARRY D.",H,IN,REP,INCUMBENT,261964,19793,281757,,620250,902007,957203.47,533842.2,13675,370165.46,917682.66,305268.86,344789.67,888332,531175.53,Y
"BUDD, THEODORE P MR.",H,NC,REP,CHALLENGER,285195,41625,326820,1000,106000,433820,483820,420035.99,300,,420335.99,,63484.01,433520,420035.99,Y
"BULLWINKEL, DEBORAH M",H,IL,DEM,OPEN,59430,19370,78800,,5250,84050,90728.29,70802.49,,19500,90728.29,,,84050,69124.2,
"BUNCH, WILLIAM CAREY BILL"" JR""",H,VA,DEM,CHALLENGER,1800,3155,4955,,,5655,5655.73,5655,,,5655.3,,,5655,5475,
"BURGESS, JEREMY",H,MI,OTH,CHALLENGER,,,,,,,,,,,,,,,,
"BURGESS, MICHAEL C. DR.",H,TX,REP,INCUMBENT,320428.67,23654.63,344083.3,,902996.38,1247079.68,1247387.54,779700.68,7343.58,194050,981094.26,205055.67,471348.95,1239736.1,779636.18,Y
"BURK, JOHN GUNTHER JR",H,KY,REP,CHALLENGER,,150,150,,,1150,1150,1150,,,1150,,,1150,1150,
"BURK, JOHN GUNTHER JR",H,NC,REP,CHALLENGER,,150,150,,,1150,1150,1150,,,1150,,,1150,1150,
"BURKE, WILLIAM F",H,MA,REP,CHALLENGER,500,450,950,,,45450,45450,41401.27,,,41401.27,1859.84,-4069.85,45450,41401.27,
"BURR, RICHARD M",S,NC,REP,INCUMBENT,5973785,451158,6424946,47925,3663207,10136078,11669655,8906937,83177,5600,8995714,747123,3421064,10052901,8902476,Y
"BURRIS, MICHAEL CRAIG",H,MO,REP,CHALLENGER,1600,100,1700,,,1700,1700.02,1829.94,,,1829.94,301.83,171.91,1700,1829.94,
"BUSH, CORI",S,MO,DEM,CHALLENGER,6476,,,,,6476.67,6476,7670,,,7670,1465,271,,,
"BUSH, JEB",P,US,REP,OPEN,31613108,1975945,33589053.88,,230317.05,34365074.58,35489858.93,34807960.72,623699.3,532,35432192.02,,57666.91,236335357.9,207828271.2,
"BUSTOS, CHERI",H,IL,DEM,INCUMBENT,1312542.57,633281.5,1945824.07,8782.23,1304558.74,3259165.04,3328888.46,1322527.58,16623.7,326504,1665655.28,135107.63,1798340.81,3242541.34,1259742.57,Y
"BUTTERFIELD, G K",H,NC,DEM,INCUMBENT,153750,25092.48,178842.48,,855581.36,1034423.84,1043092.9,653860.34,1270,97494.85,752625.19,387090.38,677558.09,1033153.84,645262.84,Y
"BUTTOCKS, SYDNEYS VOLUPTOUS",P,US,IND,OPEN,,,,,,,,,,,,5000,5000,,,
"BYDLAK, REBEKAH JOHANSEN MRS.",H,FL,REP,OPEN,188808.61,22356.21,211164.82,,24850,236056.87,240131.18,219231.18,20900,,240131.18,,,215156.87,215156.87,
"BYRNE, BRADLEY ROBERTS",H,AL,REP,INCUMBENT,455150,30652.77,485802.77,,823900,1309702.77,1338271.32,941648.85,1000,140367,1083015.85,251598.84,506854.31,1308702.77,941648.85,Y
"BYRNE, MARY RADASZEWSKI MRS",H,MO,REP,CHALLENGER,7984.52,3342.54,11327.06,,,29108.21,29108.21,29108.21,,,29108.21,,,29108.21,29108.21,
"CADIEN, TAWANA W.",H,TX,DEM,CHALLENGER,1100,1325.72,2425.72,,1000,3425.72,3530.63,2967.5,,,2967.5,823.71,1386.36,3425.72,2967.5,
"CAFORIO, BRYAN",H,CA,DEM,CHALLENGER,780858.79,175813.88,956672.67,4998.26,355425,1319070.1,1353620.83,1264452.37,6826.96,2104,1273383.33,,80237.5,1312243.14,1245092.13,
"CAGE, ERICKE",H,VA,DEM,OPEN,25685.6,9.6,25695.2,,96.05,29391.25,29391.25,14387.41,9.6,,14397.01,,14994.24,29381.65,14387.41,
"CAIN, EMILY",H,ME,DEM,CHALLENGER,1972364.9,479234.81,2451599.71,6546.71,648724.06,3106870.48,3129763.49,2996632.21,2975,2400,3002007.21,6470.72,134227,3103895.48,2973739.2,
"CALLAHAN, MARK ALLEN",S,OR,REP,CHALLENGER,11473,11703,23176,,,25876,31969,23044,,,27137,,2920,25876,23044,
"CALONE, DAVID L",H,NY,OTH,CHALLENGER,1252210.14,70397.66,1322607.8,,87400,1425207.08,1700582.01,1457732.95,25716.45,26332.37,1509795.77,,190786.24,1399490.63,1456658.02,
"CALVERT, KEN",H,CA,REP,INCUMBENT,687224,4620,691844,,717005.49,1408849.49,1415665.32,921578.31,2000,131650,1055228.31,405559,765996.01,1406849.49,914762.48,Y
"CAMACHO, FELIX P GOVERNOR",H,GU,REP,CHALLENGER,60634,16719,77353,,200,77553,77553,74664.3,,,74664.3,,2888.7,77553,74664.3,
"CAMPBELL, FOSTER LONNNIE II",S,LA,DEM,OPEN,855033,43468,898501,,85567,984069,1734975,1151475,22317,150,1423943,,311032,961751,1150569,Y
"CANADA, MIKE",H,CA,REP,CHALLENGER,,,,,,,17000,14418.4,,728,17000,,,,14418.4,
"CANNON, NELSON JEROME",H,MI,DEM,OPEN,20333.9,15148.02,35481.92,200,,76262.67,79730.67,80684.46,,,80684.46,,-986.19,76262.67,77216.46,
"CANO, FERNANDO CHRISTIAN JR",H,NC,DEM,CHALLENGER,10282.35,2309.83,12592.18,546.05,,19546.27,46139.31,44240.58,,,44240.58,,2171.71,19546.27,42127.26,
"CANOVA, TIMOTHY A.",H,FL,DEM,CHALLENGER,1035284.12,2803289.96,3838574.08,,14150,3852984.08,3886244.08,3742234.72,46977.51,3600,3792812.23,,93431.85,3806006.57,3724634.21,
"CAPUANO, MICHAEL E",H,MA,DEM,INCUMBENT,174775,23584.11,198359.11,2250,496350,696959.11,701490.13,342198.46,5325,213986.36,621805.82,699890.42,779574.73,691634.11,341707.38,Y
"CARAWAY, BARBARA LEN MALLORY",H,TX,DEM,CHALLENGER,26277,9158,35435,,3500,39835,43537.23,42301.94,,844.29,43646.23,-15180.82,53.29,39835,41920.6,
"CARBAJAL, SALUD",H,CA,DEM,OPEN,2202318.29,144419.19,2346737.48,,526704.42,2873441.9,2913864.87,2462492.16,30101,9253,2501846.16,,412018.71,2843340.9,2424323.48,Y
"CARDENAS, ANGEL",H,CA,REP,CHALLENGER,3450,655.06,4105.06,,,4105.06,4140.06,4029.13,,,4140.06,,,4105.06,4029.13,
"CARDENAS, TONY",H,CA,DEM,INCUMBENT,642399.27,2600.08,644999.35,,927139.8,1572139.15,1587816.57,1479654.03,6508.82,19504,1505666.85,194117.71,276267.43,1565630.33,1479654.03,Y
"CARDWELL, CHARLES PATTESON IV",H,VA,REP,OPEN,35050,2919,37969,,2500,40469,87969,87191.88,100,,87291.88,,677.12,40369,87191.88,
"CARGAS, JAMES P",H,TX,DEM,CHALLENGER,14320.16,7889.4,22209.56,,,36234.56,36234.56,34603.56,,,34603.56,416.62,2047.62,36234.56,34603.56,
"CARO, SUZANNE M",H,CA,REP,CHALLENGER,2700,350,3050,,,4521,4521,3735.81,,785.19,4521,,,4521,3735.81,
"CARPENTER, SAMUEL STEPHEN",S,OR,REP,CHALLENGER,13175,2274,15449,,,15449,54449,54395,,,54395,,53,15449,54395,
"CARR, JOE",H,TN,REP,CHALLENGER,110170,13942.18,124112.18,,337.38,124449.56,124469.56,120084.52,8900,,133190.98,5553,2385.04,115549.56,120084.52,
"CARROLL, JERRY LEON",S,CA,OTH,OPEN,,,,,,,140,140,,,150,10,10,,,
"CARROLL, JERRY LEON",P,US,NNE,OPEN,,,,,,,140,20,,,140,2,2,,,
"CARROLL, JOHN STANLEY",S,HI,REP,CHALLENGER,19550,1992,5700,,,31943,53945,40579,,,40579,,2364,31943,40579,
"CARROLL, MORGAN",H,CO,DEM,CHALLENGER,1598418.15,553767.18,2152185.33,6496.7,443787.53,2602469.56,2602469.56,2326606.64,18683.43,,2345290.07,,257179.49,2583786.13,2326606.64,
"CARSON, ANDRE",H,IN,DEM,INCUMBENT,428933.67,40637.69,469571.36,8960.64,556179.23,1034711.23,1071244,583039.19,3676.31,89475,676190.5,685209.7,1080263.2,1031034.92,582839.19,Y
"CARSON, BENJAMIN S SR MD",P,US,REP,OPEN,26938757,36522647,63461402.63,,5588.29,63466990.92,65063783.43,61598973.9,1297622.91,1336634.83,64258231.64,,805551.79,715555724.8,673695919.4,
"CARTER, DAN",S,CT,REP,CHALLENGER,220820,102215,316085,7000,12500,344634,364634,314794,2700,300,317794,,38719,341934,314794,
"CARTER, EARL LEROY",H,GA,REP,INCUMBENT,484040,35337.1,519377.1,,615137.61,1134514.71,1144073.27,496797.66,5500,189000,693797.66,218955.33,669230.94,1129014.71,487606.36,Y
"CARTER, JOHN R. REP.",H,TX,REP,INCUMBENT,396260.57,13818.29,410078.86,,512380.1,922458.96,926925.57,1050006.26,6000,69111,1125117.26,598079.44,399887.75,916458.96,1046536.02,Y
"CARTER, WILLIE FELIX",P,US,DEM,OPEN,,535,35,,,13325,13325,4023,,9302,13415,97,97,,,
"CARTWRIGHT, MATT",H,PA,DEM,INCUMBENT,436342.86,37567.9,473910.76,,409572.07,883482.83,910963.12,553809.97,282.43,186775,740867.4,453073.8,623169.52,883200.4,551515.81,Y
"CASACIO, STANLEY STAN""""",H,PA,REP,CHALLENGER,20424.09,3884,24308.09,,2000,55551.42,116651.42,116267.16,,,116651.42,,,55551.42,116267.16,
"CASIDA, TISHA TRINETTE",H,CO,UNK,CHALLENGER,,,,,,,,,,,,2234,2234,,,
"CASPERSON, TOM",H,MI,REP,OPEN,328528.41,42582.99,371111.4,5400,90994,467505.4,520676.06,499593.87,250,,520343.87,366.6,698.79,467255.4,499546.12,
"CASTEEN, J WESLEY",H,NC,DEM,CHALLENGER,12315,2150,13365,100,,13465,13465,12526.74,,,12526.74,,937.64,13465,12526.74,
"CASTILLO, CHRISTOPHER",H,CA,REP,OPEN,8250,540,8790,,,8840,8840,8840,,,8840,,,8840,8840,
"CASTILLO, HECTOR DR.",H,NJ,REP,CHALLENGER,14250.18,,14250.18,,,51500.18,51500.18,50125.99,,,50125.99,,1374.19,51500.18,50125.99,
"CASTLE, DARRELL LANE",P,US,CON,OPEN,21285,28449,49734.06,,,49734.06,54636.81,52721.96,,,52721.96,,1914.85,107257.69,111400.41,
"CASTOR, KATHY",H,FL,DEM,INCUMBENT,241248.34,39962.79,281211.13,,382750,663961.13,671830.09,500034.21,900,227500,728434.21,754373.84,697769.72,663061.13,497802.61,Y
"CASTRICONE, DAN",H,NY,REP,CHALLENGER,6750,4360,11110,,,11135,23635,20789.43,,,20789.43,,2845.57,11135,20789.43,
"CASTRO, JOAQUIN REP.",H,TX,DEM,INCUMBENT,479572.63,46342.87,525915.5,,599908.93,1125824.43,1130883.91,680124.93,4754.24,546664.55,1231543.72,260558.85,159899.04,1121070.19,675452.45,Y
"CATALDO, CHRISTOPHER DAVID",H,MA,NPA,CHALLENGER,3064.35,2016.76,5081.11,,,7738.31,7839.81,5692.16,100,,5792.16,,2047.65,7638.31,5590.66,
"CHABOT, PAUL R DR.",H,CA,REP,CHALLENGER,433264,82037.74,515301.74,,70023.78,585350.52,641850.52,520707.14,,2239,596046.14,294.98,46099.36,585350.52,516707.14,
"CHABOT, STEVE",H,OH,REP,INCUMBENT,448071.96,52947.02,501018.98,,422005,923023.98,923023.98,450198.51,5000,13500,468698.51,640532.2,1094857.67,918023.98,450198.51,Y
"CHADWICK, HOWARD BRUCE",H,TX,REP,CHALLENGER,5001.46,820,5821.46,,,13835.46,13835.46,13835.46,,,13835.46,,,13835.46,13835.46,
"CHAFEE, LINCOLN DAVENPORT MR.",P,US,DEM,OPEN,24390,20902,45292,,,54441.61,418135.75,418060.11,,,418163.8,,-28.05,127997.53,605284.97,
"CHAFFETZ, JASON",H,UT,REP,INCUMBENT,522001,12757.35,534758.35,,728801.17,1263559.52,1294067.17,1124039.97,2700,59000,1188339.97,309377.68,415104.88,1260859.52,1123032.32,Y
"CHAN HODGES, SHAY",H,HI,DEM,CHALLENGER,11505.19,5262.35,16767.54,,,16867.54,16977.54,16636.58,,110,16746.58,,-7122.14,16867.54,16636.58,
"CHANE, JONATHAN",H,FL,DEM,OPEN,486897.74,48265.2,535162.94,,50526.59,585689.53,718689.53,651616.14,49411.41,1000,714117.48,,4572.05,536278.12,651616.14,
"CHAPPELLE-NADAL, MARIA",H,MO,DEM,CHALLENGER,37295.39,32851.42,70146.81,,7778.9,77925.71,82390.5,77454.73,3137.16,,80591.89,,1798.61,74788.55,73040.1,
"CHAVEZ, ROCKY",S,CA,REP,OPEN,101367,12148,113515,,3400,116915,119759,119761,,,119761,,,116915,119761,
"CHENEY, ELIZABETH MRS.",H,WY,REP,OPEN,1512434.73,88854.49,1601289.22,250,186096.54,1854052.06,2011232.65,1612209.61,,66416.3,1678625.91,,332606.74,1854052.06,1612209.61,Y
"CHERNY, DIMITRI",H,SC,DEM,CHALLENGER,7162.42,19138.22,26300.64,,,26300.64,26300.64,14107.19,,3480,17587.19,284,51.2,26300.64,14107.19,
"CHERRICKS, LIZA DAWN",P,US,IND,OPEN,,,,,,,,,,,,,,,,
"CHOI, JUN",H,NJ,DEM,CHALLENGER,1000,,1000,,,1000,1000,3527.36,,50250,53777.36,52777.36,,1000,3527.36,
"CHRISTENSEN, DALE H",P,US,REP,OPEN,213,750,963.21,,,9603.44,9603.44,12258.72,,,12258.72,370,-2285.28,79810.86,87746.45,
"CHRISTENSEN, GORDON DR.",H,MO,DEM,CHALLENGER,128389.16,39169.37,167558.53,,1250,168808.53,202308.53,192132.22,,,192132.22,,10176.31,168808.53,192132.22,
"CHRISTENSEN, LELAND G",H,WY,REP,OPEN,122467.83,13509,135976.83,,4250,158226.83,164726.93,146731.11,11800,,164726.93,,,146426.83,146731.01,
"CHRISTENSEN, PAUL MAKANI",S,HI,DEM,CHALLENGER,142327,,142327,,,45802,52078,47442,,,50218,,,45802,47442,
"CHRISTIE, CHRISTOPHER J",P,US,REP,OPEN,7964476,468752,8433228.83,,115738.02,8548966.85,8745586.76,8599419.94,115217.21,100,8714737.15,,30849.61,60970039.53,57073168.43,
"CHRISTOPHER, WARREN",H,MD,DEM,OPEN,52146.69,22473.83,74620.52,,,194481.82,244709.82,76045.81,,,126045.81,,118664.01,194481.82,75817.81,
"CHU, JUDY",H,CA,DEM,INCUMBENT,654677.81,57674.02,712351.83,,368160,1080511.83,1086041.39,385739.73,13300,326146,725185.73,1687908.99,2048764.65,1067211.83,384739.73,Y
"CICILLINE, DAVID N",H,RI,DEM,INCUMBENT,929851,60933.46,990784.46,,395695,1386479.46,1392854.74,592755.98,8911,31695,728361.98,122887.75,787380.51,1377568.46,586521.89,Y
"CINO, MICHAEL J.",H,NJ,REP,CHALLENGER,1762,154,,,,1866,13797,13543,,,13543,20,56,1866,13543,
"CIOTTI, ANTHONY MR. III",P,US,IND,OPEN,,35,35,,,3035,3035,2791.33,,,2791.33,,1189.71,3035,2791.33,
"CLARK, KATHERINE",H,MA,DEM,INCUMBENT,617839.58,49636.37,667475.95,,510021.58,1177497.53,1244626.17,589802.49,,,589802.49,303661.38,958485.06,1177497.53,585535.12,Y
"CLARK, MIKE",H,TX,DEM,CHALLENGER,3727.2,9247.21,12974.41,,5000,18322.41,21422.41,20501.9,,,20501.9,,920.51,18322.41,20501.9,
"CLARKE, YVETTE D",H,NY,DEM,INCUMBENT,119120,26829.27,145949.27,,440924.54,586873.81,588423.89,424798.36,2510,25450,565158.36,118938.41,142203.94,584363.81,423248.28,Y
"CLAY, WILLIAM LACY JR",H,MO,DEM,INCUMBENT,57839.61,8096.73,65936.34,,533260.5,599196.84,603239.99,609317.83,,44315.85,654633.68,317053.11,265324.14,599196.84,605274.68,Y
"CLEAVER, EMANUEL II",H,MO,DEM,INCUMBENT,199249.95,15413.05,214663,,851365.26,1066028.26,1067016.16,678599.51,22800,12000,713399.51,73434.15,423480.13,1043228.26,677611.61,Y
"CLEEK, N EUGENE MD",H,CA,REP,CHALLENGER,139069.24,19278.61,158347.85,5000,,164259.01,376809.01,320107.22,,3655,323762.22,,53046.79,164259.01,320107.22,
"CLEMENS, PETER C",H,UT,DEM,CHALLENGER,87823.55,18987.8,106811.35,100,,106911.35,106911.35,76273.22,,1000,77273.22,,16328.13,106911.35,76273.22,
"CLEMENTS, PAUL COLIN",H,MI,DEM,CHALLENGER,556772.29,440617.51,997389.8,,29548.32,1034763.12,1035663.54,837308.81,4546.63,10000,851855.44,354.88,184162.98,1030216.49,836408.39,
"CLEMENTS, THOMAS PATRICK",S,LA,REP,OPEN,,,0.6,0.6,,,,-1458,,,-1458,,12783.8,,1980,
"CLEMENTS, THOMAS PATRICK",P,US,LIB,OPEN,,,,,,,,,,,,,,,,
"CLEVELAND, HOSEA N",H,SC,DEM,CHALLENGER,2744,,904,2000,,9045,9045,3012,,3505,6517,,1407,9045,6517,
"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",P,US,DEM,OPEN,266757494,91520886,358278382.1,13961.41,1686586.71,361329562.2,513006613,445661955.8,4871176.69,32501,450565633.5,,62440979.49,2526103377,2466802358,
"CLYBURN, JAMES E.",H,SC,DEM,INCUMBENT,276765.33,61220.9,337986.23,,1694661.97,2032648.2,2036771.72,864790.61,7510,1107240.41,1979541.02,1251219.13,1308449.83,2025138.2,864679.61,Y
"COBLENZ, MICHAEL",H,KY,DEM,CHALLENGER,,,,,,500,500,500,,,500,,,500,500,
"COFFMAN, MIKE REP.",H,CO,REP,INCUMBENT,1700715.71,297362.46,1998078.17,5000,1196478.15,3199556.32,3287403.49,2698930.02,45110,23472.72,2778184.98,22523.2,531741.71,3154446.32,2691169.92,Y
"COHEN, RONALD H",H,CA,REP,CHALLENGER,2750,,2750,,,4793,4943,4091,700,,4791,,150,4094,3630,
"COHEN, STEPHEN IRA",H,TN,DEM,INCUMBENT,158170,6224.95,164394.95,2500,408248.12,575143.07,576143.07,231086.82,500,3800,235386.82,617836.95,958593.2,574643.07,231086.82,Y
"COKER, ADAM WARD",H,NC,DEM,CHALLENGER,,10290,10290,,,10290,17772.97,15286.79,,,15286.79,,2486.18,10290,13793.82,
"COLE, DAVID HAGERTY",H,NJ,DEM,CHALLENGER,47828.03,28510.1,76338.13,,500,79529.26,111372.86,100411.84,206,50,100667.84,,10499.13,79323.26,100411.84,
"COLE, MICHAEL K",H,TX,DEM,CHALLENGER,3970,1366,5336,,5000,10336,21586,23159.1,,,24509.1,162.29,739.19,10336,23159.1,
"COLE, MICHAEL KENNETH MR JR",H,TX,DEM,CHALLENGER,3970,1366,5336,,5000,10336,21586,23159.1,,,24509.1,162.29,739.19,10336,23159.1,
"COLE, TOM",H,OK,REP,INCUMBENT,754581.48,34112.3,788693.78,,925344.97,1714038.75,1720964.2,1338154.25,3000,104249,1445403.25,983325.71,1258886.66,1711038.75,1337902.25,Y
"COLEMAN, BONNIE WATSON",H,NJ,DEM,INCUMBENT,446320.76,91848.62,538169.38,,504525,1042694.38,1042804.88,628876.74,4987.11,51508.65,685372.5,7644.46,365076.84,1037707.27,628766.24,Y
"COLEMAN, CURTIS",S,AR,REP,CHALLENGER,60819,17146,77965,,,95936,95936,93261,2700,,95961,25,,93236,93261,
"COLEMAN, LYNN CARNELL",H,IN,DEM,CHALLENGER,281815.9,93485.21,375301.11,10000,142481.63,529466.27,531688.77,447558.27,5273,9500,462331.27,,69357.5,524193.27,445335.77,
"COLLINS, CHRISTOPHER C",H,NY,REP,INCUMBENT,355635.09,,355635.09,5025,723155,1083815.09,1092436.58,373122.48,2700,131900,507722.48,610793.8,1195507.9,1081115.09,373122.48,Y
"COLLINS, DOUGLAS ALLEN",H,GA,REP,INCUMBENT,442671.63,47151.3,489822.93,,695350,1185172.93,1187889.52,1031947.66,6800,224550,1265797.66,290624.47,212716.33,1178372.93,1031087.36,Y
"COLLINS, FREDERICK",H,IL,DEM,CHALLENGER,20000,,20000,,,20000,20000,20000,,,20000,,,20000,20000,
"COLLINS, NANCY",H,MS,REP,OPEN,86074.94,9463.41,95538.35,,6500,102538.35,247121.35,247121.35,,,247121.35,,,102538.35,247121.35,
"COMER, JAMES",H,KY,REP,OPEN,631230.91,27455.16,658686.07,250,296601.11,964432.08,1066305.46,926011.79,,2000,928011.79,,138293.67,964432.08,924138.41,Y
"COMSTOCK, BARBARA J HONORABLE",H,VA,REP,INCUMBENT,2207450.58,383188.49,2590639.07,,1661825,4252464.07,4650969.31,3701540.15,7400,51768.84,3760708.99,60988.46,951248.78,4245064.07,3692166.46,Y
"CONAWAY, MICHAEL HONORABLE",H,TX,REP,INCUMBENT,684360.39,585,684945.39,,1141243.77,1826189.16,1832751.59,1146958.38,2500,28100,1451708.38,1057107.42,1438150.63,1823689.16,1146958.38,Y
"CONDLEY, KERRI",H,CA,NNE,CHALLENGER,7545,3423.52,10968.52,,3000,42868.86,87268.86,41175.73,,700,87420.73,151.87,,42868.86,41175.73,
"CONKLIN, ERIC MICHAEL",S,IL,IND,CHALLENGER,,55,55,,,3281,3281,2986,,,2986,,295,3281,2986,
"CONLON, GREG",S,CA,REP,OPEN,26100,4805,30905,,,30905,51710,51621,,,51621,,89,30905,51621,
